# E, psi
1049271.3500722204, 0.6914745101309228
1195471.2507815834, 0.6935234133533714
1352267.0659946594, 0.6919732451867378
1439367.5003887997, 0.6299450319486146
1454420.1944846062, 0.6761908467305648
1654421.2873665532, 0.6057144124768779
1871412.1470705483, 0.6031767425594303
2056746.8002984305, 0.5887538629662963
2189223.249847235, 0.5477171155169036
2476357.7534321584, 0.5459694470001066
2801152.2915314757, 0.5364797647569293
3085738.887984921, 0.4750213296379786
3504708.281227801, 0.469818391262248
3964379.38722877, 0.469058224496266
4484340.111861887, 0.4487455230641677
5072497.930857859, 0.4462078531467206
5737797.4499517, 0.44149767937748274
6275831.499792814, 0.3763442617398871
7098958.041319075, 0.3732140907719508
8030044.34935394, 0.3738364264571086
9083250.22873493, 0.3827537768491025
10274592.658314662, 0.3831786121840972
11712687.30765138, 0.3742164624233246
13085306.003998892, 0.34052770063093396
14870809.727264969, 0.33784303555066275
16821237.838807285, 0.3339228631820763
19027480.52185338, 0.3165726670024198
21523089.946107127, 0.31581250023643737
24346018.922272697, 0.30873232226524605
27539198.08205173, 0.2953321330888454
31151188.76000958, 0.295361967723514
35236921.50622893, 0.29539180235818296
39858531.460927695, 0.2950266362925267
45086303.295278594, 0.2950564709271952
50999740.088932455, 0.29864131186479437
57688772.399555676, 0.3024236531525557
65255125.91170932, 0.302058487086899
73623269.4179237, 0.2832492008815368
83495159.98174909, 0.2794846162275815
94446231.9269133, 0.28025366645857375
106833626.3699849, 0.29348781021841175
120845728.73371749, 0.29924515500780124
136695632.72717068, 0.29927498964247023
154624381.0391951, 0.3218198641956955
174904631.07532704, 0.3254047051332951
197844801.486007, 0.3256320401181263
223793762.54582876, 0.3522059218146736
253146141.71432278, 0.35531676191188133
289111453.1516729, 0.36436541690111746
322396696.2216229, 0.40684060066133965
366388063.43125963, 0.41248386701293205
414442849.4016339, 0.41192120059711224
468800412.90529364, 0.40819852857868844
530287414.676064, 0.408228363213357
602243921.4977077, 0.4210010740166883
641548067.1239341, 0.5088021495179746
725692334.1795421, 0.5147569946575268
820872808.8728263, 0.5147868292921958
928536979.9428622, 0.5391092069968861
1050322186.0952047, 0.5440765503856251
1197331684.7813447, 0.5514765450191081
1342235029.1686597, 0.5865984935800146
1520171348.993292, 0.6083536680925361
1729959360.567642, 0.6022016829703092
1945087810.5054743, 0.6102190548490762
2200201957.9262853, 0.6112081768988209
2474873483.691892, 0.6123821574446762
